Organisation,Service Area,Expenditure Unit,Expenditure Code,Paid Date,Trans No,Amount,caporrev,Supplier ID,Supplier Name
Oxford City Council,Direct Services,Vehicle Excise Licences,C2202,20/03/2015,46285119_9,225.00,Revenue,20008465,POST OFFICE LTD
Oxford City Council,Regeneration and Major Projects Team,Consultants Fees,D3411,17/02/2015,1012674_1,13500.00,Revenue,20008467,JONES LANG LASALLE LTD
Oxford City Council,City Development,Consultants Fees,D3411,31/03/2015,1014215_1,14793.24,Revenue,20008467,JONES LANG LASALLE LTD
Oxford City Council,Direct Services,Reactive Maintenance & Minor Repairs,B1101,10/02/2015,1012574_1,2650.00,Revenue,20008522,SCHEIDT & BACHMANN UK LTD
Oxford City Council,Environmental Development,General Contracted Services,D3401,20/01/2015,1012164_1,1721.00,Revenue,20008529,REEVES & PAIN FUNERAL SERVICE
Oxford City Council,Environmental Development,General Contracted Services,D3401,24/03/2015,1013930_1,1786.40,Revenue,20008529,REEVES & PAIN FUNERAL SERVICE
Oxford City Council,Regeneration and Major Projects Team,General Contracted Services,D3401,13/01/2015,1012160_1,2250.00,Revenue,20008541,KEMP & KEMP LLP T/AS KEMP & KEMP PROPERTY CONSULTANCY
Oxford City Council,Regeneration and Major Projects Team,Consultants Fees,D3411,24/03/2015,46285158_1,2250.00,Revenue,20008541,KEMP & KEMP LLP T/AS KEMP & KEMP PROPERTY CONSULTANCY
Oxford City Council,Direct Services,Books & Publications,D3302,13/03/2015,46285003_1,2000.00,Revenue,20008546,VOSA
Oxford City Council,Leisure  Parks & Communities,General Contracted Services,D3401,03/03/2015,1013258_1,1050.00,Revenue,20008586,THE CHERWELL SCHOOL ACADEMY TRUST
Oxford City Council,Direct Services,Tools,D3023   ,17/02/2015,60033085_0,7218.00,Revenue,20008595,PRISMO ROAD MARKINGS LTD T/AS PRISMO PRODUCT SERVICES
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311,31/03/2015,60035606_1,17765.00,Revenue,20008600,THE REVIVAL COMPANY (OXFORD)
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311,31/03/2015,60035607_1,13362.00,Revenue,20008600,THE REVIVAL COMPANY (OXFORD)
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311,31/03/2015,60035608_1,6945.00,Revenue,20008600,THE REVIVAL COMPANY (OXFORD)
Oxford City Council,Business Improvement & Technology,Consultants Fees,D3411,31/03/2015,1014031_1,3412.39,Revenue,20008662,ARTIFAX SOFTWARE LTD
Oxford City Council,Leisure  Parks & Communities,Short Courses,A0622,03/02/2015,1012835_1,610.00,Revenue,20008682,ICCM
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,10/02/2015,60032857_1,3096.00,Revenue,20008696,TOTAL HYGIENE LTD
Oxford City Council,Housing and Property,Grants,D3701,27/01/2015,46284524_1,8556.00,Revenue,20008698,OXFORD HOMELESS PATHWAYS
Oxford City Council,Housing and Property,Regional Champions,D3431,27/01/2015,46284525_1,1149.05,Revenue,20008698,OXFORD HOMELESS PATHWAYS
Oxford City Council,Housing and Property,Grants,D3701,03/02/2015,46284660_1,13897.00,Revenue,20008698,OXFORD HOMELESS PATHWAYS
Oxford City Council,Housing and Property,Regional Champions,D3431,17/02/2015,46284738_1,1002.75,Revenue,20008698,OXFORD HOMELESS PATHWAYS
Oxford City Council,Housing and Property,Regional Champions,D3431,17/03/2015,46285049_1,787.50,Revenue,20008698,OXFORD HOMELESS PATHWAYS
Oxford City Council,Housing and Property,Grants,D3701,17/03/2015,46285075_1,3316.13,Revenue,20008698,OXFORD HOMELESS PATHWAYS
Oxford City Council,Leisure  Parks & Communities,Grants,D3701,10/03/2015,46281086_1,2000.00,Revenue,20008713,OXFORD CONTEMPORARY MUSIC
Oxford City Council,Leisure  Parks & Communities,General Contracted Services,D3401,24/03/2015,46285112_1,2500.00,Revenue,20008713,OXFORD CONTEMPORARY MUSIC
Oxford City Council,Direct Services,Materials,D3021,24/03/2015,60035030_2,2400.00,Revenue,20008752,BARLOW & SONS (HERMITAGE) LTD
Oxford City Council,Leisure  Parks & Communities,Plants,D3025,31/03/2015,1014613_1,1850.92,Revenue,20008753,ORCHARD STREET FURNITURE
Oxford City Council,Leisure  Parks & Communities,Postage & Carriage,D3501,31/03/2015,1014613_2,70.00,Revenue,20008753,ORCHARD STREET FURNITURE
Oxford City Council,Funding,Parishes,J8527,31/03/2015,46285267_1,2075.00,Revenue,20008779,RISINGHURST & SANDHILLS PARISH COUNCIL
Oxford City Council,Leisure  Parks & Communities,General Contracted Services,D3401,27/01/2015,1012538_1,750.00,Revenue,20008780,LEYS NEWS LTD
Oxford City Council,Housing and Property,Books & Publications,D3302,17/02/2015,1013121_1,7695.38,Revenue,20008780,LEYS NEWS LTD
Oxford City Council,Leisure  Parks & Communities,Grants,D3701,24/03/2015,46285091_1,2000.00,Revenue,20008780,LEYS NEWS LTD
Oxford City Council,Leisure  Parks & Communities,Grants,D3701,24/03/2015,46285184_1,600.00,Revenue,20008780,LEYS NEWS LTD
Oxford City Council,Leisure  Parks & Communities,Grants,D3701,31/03/2015,46285249_1,5400.00,Revenue,20008780,LEYS NEWS LTD
Oxford City Council,Regeneration and Major Projects Team,Consultants Fees,D3411,24/02/2015,46284850_1,1756.69,Revenue,20008805,SAVILLS (L & P ) LIMITED
Oxford City Council,Direct Services,Materials,D3021   ,03/03/2015,60033928_1,1550.59,Revenue,20008954,SNOWS TIMBERLIMITED
Oxford City Council,Business Improvement & Technology,Software Maintenance/Running Costs,D3513,24/02/2015,1013046_1,1196.00,Revenue,20009001,BOTTOMLINE TECHNOLOGIES LTD
Oxford City Council,Business Improvement & Technology,Consultants Fees,D3411,24/03/2015,1013984_1,1000.00,Revenue,20009001,BOTTOMLINE TECHNOLOGIES LTD
Oxford City Council,Business Improvement & Technology,Consultants Fees,D3411,31/03/2015,1014163_1,500.00,Revenue,20009001,BOTTOMLINE TECHNOLOGIES LTD
Oxford City Council,Direct Services,Postage & Carriage,D3501,17/02/2015,46284707_1,1000.00,Revenue,20009008,NEOPOST LTD RCB CREDIFON  A/C
Oxford City Council,Leisure  Parks & Communities,Consultants Fees,D3411,31/03/2015,1014501_1,4700.00,Revenue,20009020,SPORT ENGLAND
Oxford City Council,Environmental Development,General Contracted Services,D3401,31/03/2015,1014428_1,2650.00,Revenue,20009045,TOWN & COUNTRY PLANNING ASSOCI
Oxford City Council,Direct Services,Reactive Maintenance & Minor Repairs,B1101,17/02/2015,1012804_1,567.00,Revenue,20009085,WILLINGS SERVICES LTD
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,10/02/2015,60032870_1,524.00,Revenue,20009105,SCOOTER STORE
Oxford City Council,HRA,Main Contractor,Y021,27/01/2015,1012610_1,980.00,Capital,20009112,PRESERVATION SPECIALIST TREATMENTS
Oxford City Council,HRA,Main Contractor,Y021,10/02/2015,1012921_1,965.00,Capital,20009112,PRESERVATION SPECIALIST TREATMENTS
Oxford City Council,HRA,Main Contractor,Y021,10/02/2015,1012922_1,615.00,Capital,20009112,PRESERVATION SPECIALIST TREATMENTS
Oxford City Council,HRA,Main Contractor,Y021,10/02/2015,1012923_1,840.00,Capital,20009112,PRESERVATION SPECIALIST TREATMENTS
Oxford City Council,HRA,Main Contractor,Y021,10/02/2015,1012924_1,840.00,Capital,20009112,PRESERVATION SPECIALIST TREATMENTS
Oxford City Council,HRA,Main Contractor,Y021,10/02/2015,1012925_1,860.00,Capital,20009112,PRESERVATION SPECIALIST TREATMENTS
Oxford City Council,HRA,Main Contractor,Y021,10/02/2015,1012926_1,860.00,Capital,20009112,PRESERVATION SPECIALIST TREATMENTS
Oxford City Council,HRA,Main Contractor,Y021,03/03/2015,1013818_1,860.00,Capital,20009112,PRESERVATION SPECIALIST TREATMENTS
Oxford City Council,HRA,Main Contractor,Y021,31/03/2015,1014509_1,945.00,Capital,20009112,PRESERVATION SPECIALIST TREATMENTS
Oxford City Council,HRA,Main Contractor,Y021,31/03/2015,1014510_1,810.00,Capital,20009112,PRESERVATION SPECIALIST TREATMENTS
Oxford City Council,HRA,Main Contractor,Y021,31/03/2015,1014511_1,990.00,Capital,20009112,PRESERVATION SPECIALIST TREATMENTS
Oxford City Council,HRA,Main Contractor,Y021,31/03/2015,1014512_1,1310.00,Capital,20009112,PRESERVATION SPECIALIST TREATMENTS
Oxford City Council,HRA,Main Contractor,Y021,31/03/2015,1014520_1,980.00,Capital,20009112,PRESERVATION SPECIALIST TREATMENTS
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311   ,06/01/2015,60031145_0,1950.00,Revenue,20009112,PRESERVATION SPECIALIST TREATMENTS
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311   ,17/02/2015,60033265_1,886.00,Revenue,20009112,PRESERVATION SPECIALIST TREATMENTS
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311   ,17/02/2015,60033267_1,736.00,Revenue,20009112,PRESERVATION SPECIALIST TREATMENTS
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311   ,03/03/2015,60033933_0,860.00,Revenue,20009112,PRESERVATION SPECIALIST TREATMENTS
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311   ,03/03/2015,60033940_2,980.00,Revenue,20009112,PRESERVATION SPECIALIST TREATMENTS
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311   ,03/03/2015,60033945_0,890.00,Revenue,20009112,PRESERVATION SPECIALIST TREATMENTS
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311   ,03/03/2015,60033948_2,940.00,Revenue,20009112,PRESERVATION SPECIALIST TREATMENTS
Oxford City Council,Leisure  Parks & Communities,Grants,D3701,10/03/2015,46281090_1,2000.00,Revenue,20009131,FILM OXFORD
Oxford City Council,Leisure  Parks & Communities,General Contracted Services,D3401,13/01/2015,46284399_1,500.00,Revenue,20009133,BLACKBIRD LEYS ADVENTURE PLAYGROUND
Oxford City Council,Leisure  Parks & Communities,General Contracted Services,D3401,24/02/2015,46284861_1,3000.00,Revenue,20009133,BLACKBIRD LEYS ADVENTURE PLAYGROUND
Oxford City Council,Policy  Culture and Communication,General Contracted Services,D3401,24/02/2015,1013626_1,500.00,Revenue,20009134,OXFORD PLAYHOUSE TRUST
Oxford City Council,Leisure  Parks & Communities,Grants,D3701,10/03/2015,46281092_1,1500.00,Revenue,20009134,OXFORD PLAYHOUSE TRUST
Oxford City Council,Direct Services,Materials,D3021   ,20/01/2015,60031472_1,1291.00,Revenue,20009171,CARL F GROUPCO LTD
Oxford City Council,Leisure  Parks & Communities,Fuel Oil,B1503,31/03/2015,1014599_1,669.80,Revenue,20009215,TOTAL BUTLER
Oxford City Council,Law and Governance,Provisions,D3101,20/01/2015,1011935_1,4924.00,Revenue,20009224,LAMB CATERING LTD
Oxford City Council,Human Resources & Facilities,Provisions,D3101,03/03/2015,1013175_1,951.50,Revenue,20009224,LAMB CATERING LTD
Oxford City Council,Law and Governance,Provisions,D3101,17/02/2015,1013314_1,702.00,Revenue,20009224,LAMB CATERING LTD
Oxford City Council,Human Resources & Facilities,Provisions,D3101,24/03/2015,1013937_1,951.50,Revenue,20009224,LAMB CATERING LTD
Oxford City Council,Leisure  Parks & Communities,Contributions,D3702,17/03/2015,46285021_1,500.00,Revenue,20009273,ASYLUM WELCOME
Oxford City Council,Leisure  Parks & Communities,Grants,D3701,24/03/2015,46285090_1,1000.00,Revenue,20009273,ASYLUM WELCOME
Oxford City Council,Direct Services,Conferences/Seminars,A0636,03/02/2015,1012806_1,1109.40,Revenue,20009350,APSE
Oxford City Council,Environmental Development,Short Courses,A0622,10/03/2015,1013945_1,3754.22,Revenue,20009350,APSE
Oxford City Council,Direct Services,Rent,B1701,03/02/2015,1012206_1,21636.52,Revenue,20009367,WORCESTER COLLEGE
Oxford City Council,Funding,Parishes,J8527,31/03/2015,46285270_1,31282.50,Revenue,20009406,OLD MARSTON PARISH COUNCIL
Oxford City Council,HRA,CCTV,D3504,24/03/2015,1014240_1,4002.47,Revenue,20009494,BT REDCARE
Oxford City Council,Leisure  Parks & Communities,Grants,D3701,10/03/2015,46284959_1,4801.05,Revenue,20009501,THE LEYS CDI
Oxford City Council,Leisure  Parks & Communities,Grants,D3701,24/03/2015,46285111_1,7000.00,Revenue,20009501,THE LEYS CDI
Oxford City Council,City Development,Staff Advertising,A0702,27/01/2015,1012451_1,1495.00,Revenue,20009528,HAYMARKET MEDIA GROUP
Oxford City Council,City Development,Subscriptions,D3703,31/03/2015,1014540_1,705.00,Revenue,20009528,HAYMARKET MEDIA GROUP
Oxford City Council,Environmental Development,Subscriptions,D3703,24/03/2015,1014147_1,3500.00,Revenue,20009529,TV ENERGY LIMITED
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,27/01/2015,1012461_1,3869.00,Revenue,20009530,OSBORNE RICHARDSON LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,27/01/2015,1012461_2,4902.50,Revenue,20009530,OSBORNE RICHARDSON LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,03/03/2015,1013687_1,4516.88,Revenue,20009530,OSBORNE RICHARDSON LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,03/03/2015,1013687_2,5873.75,Revenue,20009530,OSBORNE RICHARDSON LTD
Oxford City Council,Environmental Development,General Contracted Services,D3401,10/03/2015,1013884_1,5945.00,Revenue,20009530,OSBORNE RICHARDSON LTD
Oxford City Council,Environmental Development,General Contracted Services,D3401,24/03/2015,1014193_1,5450.00,Revenue,20009530,OSBORNE RICHARDSON LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,24/03/2015,1014345_1,4133.63,Revenue,20009530,OSBORNE RICHARDSON LTD
Oxford City Council,Environmental Development,Temporary Bureau Staffing,A0108,24/03/2015,1014345_2,4948.75,Revenue,20009530,OSBORNE RICHARDSON LTD
Oxford City Council,City Development,Temporary Bureau Staffing,A0108,17/03/2015,1013830_1,5525.00,Revenue,20009533,AYLESBURY VALE DISTRICT
Oxford City Council,City Development,Temporary Bureau Staffing,A0108,31/03/2015,1014094_1,3668.57,Revenue,20009533,AYLESBURY VALE DISTRICT
Oxford City Council,Leisure  Parks & Communities,Contributions,D3702,17/03/2015,46285020_1,1264.00,Revenue,20009538,CUTTESLOWE COMMUNITY ASSOCIATION
Oxford City Council,Leisure  Parks & Communities,Contributions,D3702,31/03/2015,46285208_1,750.00,Revenue,20009538,CUTTESLOWE COMMUNITY ASSOCIATION
Oxford City Council,Leisure  Parks & Communities,General Contracted Services,D3401,17/02/2015,1012844_1,2250.00,Revenue,20009599,ABINGDON & WITNEY COLLEGE
Oxford City Council,Human Resources & Facilities,Staff Advertising,A0702,20/01/2015,1012220_1,5775.00,Revenue,20009611,JGP RESOURCING LTD
Oxford City Council,Customer Services,Software Maintenance/Running Costs,D3513,27/01/2015,1012257_1,662.00,Revenue,20009660,EXPERIAN LTD
Oxford City Council,Customer Services,Software Maintenance/Running Costs,D3513,24/02/2015,1013156_1,662.00,Revenue,20009660,EXPERIAN LTD
Oxford City Council,Business Improvement & Technology,Software Maintenance/Running Costs,D3513,17/03/2015,1013642_1,852.00,Revenue,20009660,EXPERIAN LTD
Oxford City Council,Customer Services,Online Services,D3510,17/03/2015,1013868_1,7620.00,Revenue,20009660,EXPERIAN LTD
Oxford City Council,Customer Services,Software Maintenance/Running Costs,D3513,31/03/2015,1014449_1,662.00,Revenue,20009660,EXPERIAN LTD
Oxford City Council,Policy  Culture and Communication,General Contracted Services,D3401,10/03/2015,1013944_1,1036.00,Revenue,20009676,FOOL'S PARADISE LTD
Oxford City Council,Leisure  Parks & Communities,Grants,D3701,10/03/2015,46281089_1,500.00,Revenue,20009717,ARK T CENTRE
Oxford City Council,Leisure  Parks & Communities,Grants,D3701,24/02/2015,46284862_1,2000.00,Revenue,20009717,ARK T CENTRE
Oxford City Council,Human Resources & Facilities,Security Services,D3418,27/01/2015,1012586_1,1092.00,Revenue,20009730,R & R FRONTLINE SERVICES LTD
Oxford City Council,Human Resources & Facilities,Security Services,D3418,24/03/2015,1013900_1,1222.00,Revenue,20009730,R & R FRONTLINE SERVICES LTD
Oxford City Council,Direct Services,Materials,D3021   ,17/02/2015,60033156_0,504.00,Revenue,20009785,THE HELPING HAND COMPANY
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,13/01/2015,60031436_1,1644.00,Revenue,20009825,MAYLARCH ENVIRONMENTAL LTD
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,24/02/2015,60033478_0,3060.00,Revenue,20009825,MAYLARCH ENVIRONMENTAL LTD
Oxford City Council,Direct Services,Materials,D3021   ,06/01/2015,60031141_2,8754.50,Revenue,20009834,WATCO UK LIMITED
Oxford City Council,Direct Services,General Contracted Services,D3401,24/03/2015,1014331_1,799.00,Revenue,20009835,HEALTH & SAFETY LABORATORY
Oxford City Council,Leisure  Parks & Communities,Grants,D3701,31/03/2015,46285197_1,600.00,Revenue,20009918,OXFORDSHIRE COUNTY COUNCIL
Oxford City Council,HRA,Main Contractor,Y021,27/01/2015,1012313_1,4900.00,Capital,20009938,MICHAEL DYSON ASSOCIATES
Oxford City Council,Direct Services,Rent,B1701,17/03/2015,46285045_1,214947.02,Revenue,20009954,NUFFIELD COLLEGE
Oxford City Council,HRA,Contract Printing (External),D3303,20/01/2015,1012124_1,968.00,Revenue,20010006,ADVANCED CARD BUREAU LTD
Oxford City Council,Leisure  Parks & Communities,Instructors & Coaching Fees,D3413,31/03/2015,1014505_1,3040.00,Revenue,20010101,OXFORD WHEELS PROJECT
Oxford City Council,Leisure  Parks & Communities,Instructors & Coaching Fees,D3413,31/03/2015,1014525_1,4080.00,Revenue,20010101,OXFORD WHEELS PROJECT
Oxford City Council,Customer Services,General Contracted Services,D3401,06/01/2015,1011852_1,15249.25,Revenue,20010153,CIVICA UK LTD
Oxford City Council,Customer Services,General Contracted Services,D3401,10/02/2015,1012744_1,11875.25,Revenue,20010153,CIVICA UK LTD
Oxford City Council,Direct Services,General Contracted Services,D3401,10/03/2015,1013353_1,4483.51,Revenue,20010153,CIVICA UK LTD
Oxford City Council,Customer Services,General Contracted Services,D3401,10/03/2015,1013518_1,15647.25,Revenue,20010153,CIVICA UK LTD
Oxford City Council,Business Improvement & Technology,Servitor,D3508,24/03/2015,1013623_1,77998.18,Revenue,20010153,CIVICA UK LTD
Oxford City Council,Direct Services,Servitor,D3508,17/03/2015,1013880_1,577.50,Revenue,20010153,CIVICA UK LTD
Oxford City Council,Direct Services,General Contracted Services,D3401,17/03/2015,1014040_1,8966.94,Revenue,20010153,CIVICA UK LTD
Oxford City Council,Housing and Property,Grants,D3701,20/01/2015,46284429_1,13200.00,Revenue,20010170,CONNECTION OXFORD LTD
Oxford City Council,Housing and Property,Grants,D3701,27/01/2015,46284522_1,503.88,Revenue,20010170,CONNECTION OXFORD LTD
Oxford City Council,Leisure  Parks & Communities,Grants,D3701,27/01/2015,46284523_1,3496.12,Revenue,20010170,CONNECTION OXFORD LTD
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311   ,06/01/2015,60031169_1,870.00,Revenue,20010275,UNIVERSAL WINDOW REPAIRS LTD T/A RADLEY
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311   ,20/01/2015,60031571_0,848.00,Revenue,20010275,UNIVERSAL WINDOW REPAIRS LTD T/A RADLEY
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311   ,20/01/2015,60031572_2,848.00,Revenue,20010275,UNIVERSAL WINDOW REPAIRS LTD T/A RADLEY
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311   ,17/02/2015,60033166_1,848.00,Revenue,20010275,UNIVERSAL WINDOW REPAIRS LTD T/A RADLEY
Oxford City Council,Direct Services,Direct Services Supplies & Services,D3311   ,24/02/2015,60033570_1,543.29,Revenue,20010275,UNIVERSAL WINDOW REPAIRS LTD T/A RADLEY
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,10/02/2015,60032744_1,703.37,Revenue,20010329,ALLFLOORS OF OXFORDSHIRE LTD
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,10/02/2015,60032746_1,546.54,Revenue,20010329,ALLFLOORS OF OXFORDSHIRE LTD
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,10/02/2015,60032750_1,515.82,Revenue,20010329,ALLFLOORS OF OXFORDSHIRE LTD
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,10/02/2015,60032751_1,702.97,Revenue,20010329,ALLFLOORS OF OXFORDSHIRE LTD
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,10/02/2015,60032754_1,780.55,Revenue,20010329,ALLFLOORS OF OXFORDSHIRE LTD
Oxford City Council,Direct Services,Reactive Maintenance & Minor Repairs,B1101   ,10/02/2015,60032877_1,1321.15,Revenue,20010329,ALLFLOORS OF OXFORDSHIRE LTD
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,17/02/2015,60033215_1,1024.04,Revenue,20010329,ALLFLOORS OF OXFORDSHIRE LTD
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,03/03/2015,60033671_2,842.80,Revenue,20010329,ALLFLOORS OF OXFORDSHIRE LTD
Oxford City Council,Direct Services,Direct Services Sub Contractors,B1111   ,17/03/2015,60034448_1,935.48,Revenue,20010329,ALLFLOORS OF OXFORDSHIRE LTD
Oxford City Council,Environmental Development,Grants-Private Persons,Y005,10/03/2015,1012848_1,1674.00,Capital,20010352,DOMESTIC LIFT SERVICES LTD
Oxford City Council,Leisure  Parks & Communities,Furniture & Equipment Purchase,D3001,10/02/2015,1012567_1,3360.00,Revenue,20010377,SPORTY-CO
Oxford City Council,Leisure  Parks & Communities,Postage & Carriage,D3501,10/02/2015,1012567_2,150.00,Revenue,20010377,SPORTY-CO
Oxford City Council,Suspense,Creditors - BACS,J8810,10/03/2015,46284957_1,1980.00,Revenue,20010391,SOHA HOUSING LIMITED
Oxford City Council,Housing and Property,Homelessness Accommodation Lease Payments,D3611,13/01/2015,1012128_1,2025.00,Revenue,20010426,OXFORD REAL LIMITED
Oxford City Council,Housing and Property,Homelessness Accommodation Lease Payments,D3611,27/01/2015,1012580_1,25000.00,Revenue,20010426,OXFORD REAL LIMITED
Oxford City Council,Housing and Property,Homelessness Accommodation Lease Payments,D3611,27/01/2015,1012721_1,24950.00,Revenue,20010426,OXFORD REAL LIMITED
Oxford City Council,Housing and Property,Homelessness Accommodation Lease Payments,D3611,31/03/2015,1014598_1,2025.00,Revenue,20010426,OXFORD REAL LIMITED
Oxford City Council,Direct Services,Veh.maint direct purchase,D3031,03/02/2015,47978585_0,1536.60,Revenue,20010430,TERBERG MATEC UK LTD
Oxford City Council,Direct Services,Veh.maint direct purchase,D3031,03/02/2015,47978585_1,20.00,Revenue,20010430,TERBERG MATEC UK LTD
Oxford City Council,Direct Services,Veh.maint direct purchase,D3031,03/03/2015,47978995_0,868.27,Revenue,20010430,TERBERG MATEC UK LTD
Oxford City Council,Direct Services,Veh.maint direct purchase,D3031,03/03/2015,47978995_1,14.50,Revenue,20010430,TERBERG MATEC UK LTD
Oxford City Council,Regeneration and Major Projects Team,Reactive Maintenance & Minor Repairs,B1101,31/03/2015,46285243_1,835.00,Revenue,20010433,IDEAL FLOORING (OXFORD) LTD
Oxford City Council,Regeneration and Major Projects Team,Main Contractor,Y021,13/01/2015,48021100_1,924.70,Capital,20010433,IDEAL FLOORING (OXFORD) LTD
Oxford City Council,Business Improvement & Technology,Subscriptions,D3703,06/01/2015,1011661_1,735.00,Revenue,20010469,IMPROVEMENT AND DEVELOPMENT AGENCY
Oxford City Council,Customer Services,General Stationery Supplies,D3301,31/03/2015,46285250_1,302.44,Revenue,20010534,XMA LIMITED
Oxford City Council,Direct Services,General Stationery Supplies,D3301,31/03/2015,46285250_2,89.00,Revenue,20010534,XMA LIMITED
Oxford City Council,Finance,General Stationery Supplies,D3301,31/03/2015,46285250_3,353.43,Revenue,20010534,XMA LIMITED
Oxford City Council,Human Resources & Facilities,General Stationery Supplies,D3301,31/03/2015,46285250_4,52.44,Revenue,20010534,XMA LIMITED
Oxford City Council,Leisure  Parks & Communities,Furniture & Equipment Purchase,D3001,06/01/2015,1011780_1,1383.00,Revenue,20010599,GB SPORT & LEISURE UK LTD
Oxford City Council,Leisure  Parks & Communities,Furniture & Equipment Purchase,D3001,03/03/2015,1013233_1,1748.40,Revenue,20010599,GB SPORT & LEISURE UK LTD
Oxford City Council,Housing and Property,Homelessness Accommodation Lease Payments,D3611,27/01/2015,1012508_1,4680.00,Revenue,20010650,Redacted personal data
Oxford City Council,Housing and Property,Homelessness Accommodation Lease Payments,D3611,03/03/2015,1013740_1,4920.00,Revenue,20010650,Redacted personal data
Oxford City Council,Housing and Property,Homelessness Accommodation Lease Payments,D3611,03/03/2015,1013745_1,5010.00,Revenue,20010650,Redacted personal data
Oxford City Council,Regeneration and Major Projects Team,Child Care Vouchers,A0709,24/03/2015,1014241_1,1931.00,Revenue,20010691,REED BUSINESS INFORMATION LTD
Oxford City Council,Law and Governance,Contract Printing (External),D3303,27/01/2015,1012764_1,4707.83,Revenue,20010748,ELECTORAL REFORM SERVICES LTD
Oxford City Council,Law and Governance,Contract Printing (External),D3303,27/01/2015,1012765_1,5817.00,Revenue,20010748,ELECTORAL REFORM SERVICES LTD
Oxford City Council,Law and Governance,Contract Printing (External),D3303,03/03/2015,1013770_1,3534.94,Revenue,20010748,ELECTORAL REFORM SERVICES LTD
Oxford City Council,Law and Governance,Contract Printing (External),D3303,03/03/2015,1013783_1,5400.94,Revenue,20010748,ELECTORAL REFORM SERVICES LTD
Oxford City Council,Environmental Development,General Contracted Services,D3401,13/01/2015,1011904_1,705.00,Revenue,20010837,DICK RUDMAN
Oxford City Council,Environmental Development,General Contracted Services,D3401,10/02/2015,1013115_1,780.00,Revenue,20010837,DICK RUDMAN
Oxford City Council,Direct Services,Materials,D3021   ,06/01/2015,60031116_0,1353.00,Revenue,20010966,GEO BROWNS IMPLEMENTS LTD
Oxford City Council,Direct Services,Materials,D3021   ,10/02/2015,60032690_1,3844.99,Revenue,20010966,GEO BROWNS IMPLEMENTS LTD
Oxford City Council,Direct Services,Materials,D3021   ,17/02/2015,60033091_0,3330.00,Revenue,20010966,GEO BROWNS IMPLEMENTS LTD
Oxford City Council,Direct Services,Materials,D3021,24/03/2015,60035035_0,552.00,Revenue,20010966,GEO BROWNS IMPLEMENTS LTD
Oxford City Council,Direct Services,Street Furniture,B1014   ,24/02/2015,60033516_2,4233.00,Revenue,20010967,MALCOLM LANE & SON LTD
Oxford City Council,Housing and Property,Grants,D3701,20/01/2015,46284428_1,15129.75,Revenue,20011006,ASPIRE OXFORDSHIRE COMMUNITY ENTERPRISE LTD
Oxford City Council,Leisure  Parks & Communities,Grants,D3701,20/01/2015,46284502_1,14086.25,Revenue,20011006,ASPIRE OXFORDSHIRE COMMUNITY ENTERPRISE LTD
Oxford City Council,Customer Services,Software Purchase,D3511,17/02/2015,1013157_1,475.00,Revenue,20011018,AIREY CONSULTANCY LIMITED T/A ACS INDEPENDENT CONSULTANCY & SUPPORT
Oxford City Council,Customer Services,Software Purchase,D3511,17/02/2015,1013157_2,475.00,Revenue,20011018,AIREY CONSULTANCY LIMITED T/A ACS INDEPENDENT CONSULTANCY & SUPPORT
Oxford City Council,HRA,Gas,B1502,10/03/2015,1011540_1,707.39,Revenue,20011042,KENT COUNTY COUNCIL
Oxford City Council,HRA,Gas,B1502,10/03/2015,1011552_1,892.72,Revenue,20011042,KENT COUNTY COUNCIL
Oxford City Council,HRA,Gas,B1502,27/01/2015,1012353_1,1288.05,Revenue,20011042,KENT COUNTY COUNCIL
