Service Area,Expenditure Catergory,Expenditure Code,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name
Direct Services,Direct Services Supplies & Services,D3311,25/01/2017,60067458 - 1,580.51,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,25/01/2017,60067463 - 0,1330.25,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,25/01/2017,60067464 - 1,1330.25,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,25/01/2017,60067465 - 0,523.97,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,25/01/2017,60067467 - 0,618.37,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,25/01/2017,60067468 - 1,1022.80,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,25/01/2017,60067472 - 1,795.34,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,25/01/2017,60067488 - 1,633.50,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Materials,D3021,25/01/2017,60067489 - 0,6899.04,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Materials,D3021,25/01/2017,60067491 - 0,1400.00,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Materials,D3021,25/01/2017,60067495 - 0,1103.48,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Materials,D3021,25/01/2017,60067497 - 0,572.00,Revenue,20002183,EYRE & ELLISTON LTD
Direct Services,Materials,D3021,25/01/2017,60067509 - 0,1050.85,Revenue,20002680,OXFORD SAFETY SUPPLIES
Direct Services,Materials,D3021,25/01/2017,60067522 - 1,578.35,Revenue,20019236,POWRED HEATING COMPONENTS LTD
Direct Services,Materials,D3021,25/01/2017,60067526 - 1,1841.33,Revenue,20019236,POWRED HEATING COMPONENTS LTD
Direct Services,Muck away from site,D3313,25/01/2017,60067551 - 0,3420.00,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Muck away from site,D3313,25/01/2017,60067552 - 1,900.00,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,General Contracted Services,D3401,25/01/2017,60067553 - 0,11400.00,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,General Contracted Services,D3401,25/01/2017,60067554 - 1,2160.00,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,25/01/2017,60067555 - 0,5085.80,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,25/01/2017,60067556 - 1,967.20,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,25/01/2017,60067557 - 0,4931.18,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,25/01/2017,60067558 - 1,3934.06,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,25/01/2017,60067560 - 1,2233.52,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,25/01/2017,60067561 - 0,1933.02,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,25/01/2017,60067562 - 1,2449.21,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,25/01/2017,60067563 - 0,1921.70,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,25/01/2017,60067564 - 1,1612.00,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,25/01/2017,60067565 - 0,644.80,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,25/01/2017,60067567 - 0,967.20,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,General Contracted Services,D3401,25/01/2017,60067569 - 0,13000.00,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,General Contracted Services,D3401,25/01/2017,60067570 - 1,630.00,Revenue,20011854,OXFORD FABRICATION LTD
Direct Services,Materials,D3021,25/01/2017,60067571 - 0,930.00,Revenue,20011854,OXFORD FABRICATION LTD
Direct Services,Materials,D3021,25/01/2017,60067572 - 1,930.00,Revenue,20011854,OXFORD FABRICATION LTD
Direct Services,Tipping Charges,D3421,25/01/2017,60067573 - 0,4183.94,Revenue,20012568,OXFORD RENEWABLE ENERGY LTD T/S AGRIVERT
Direct Services,Refuse Containers,D3004,25/01/2017,60067588 - 1,13723.84,Revenue,20004221,SSI SCHAEFER LTD
Direct Services,Materials,D3021,25/01/2017,60067596 - 1,2220.48,Revenue,20002690,COMPASS MINERALS UK LTD
Direct Services,Materials,D3021,25/01/2017,60067597 - 0,2185.16,Revenue,20002690,COMPASS MINERALS UK LTD
Direct Services,Materials,D3021,25/01/2017,60067598 - 1,2210.50,Revenue,20002690,COMPASS MINERALS UK LTD
Direct Services,Materials,D3021,25/01/2017,60067599 - 0,2174.41,Revenue,20002690,COMPASS MINERALS UK LTD
Direct Services,Materials,D3021,25/01/2017,60067600 - 1,2197.45,Revenue,20002690,COMPASS MINERALS UK LTD
Direct Services,Materials,D3021,31/01/2017,60067601 - 0,758.55,Revenue,20002005,HANSON AGGREGATES
Direct Services,Materials,D3021,31/01/2017,60067602 - 1,763.58,Revenue,20002005,HANSON AGGREGATES
Direct Services,Materials,D3021,25/01/2017,60067604 - 1,594.66,Revenue,20015230,MERKKO ENTERPRISES LIMITED
Direct Services,Materials,D3021,25/01/2017,60067605 - 0,913.40,Revenue,20015230,MERKKO ENTERPRISES LIMITED
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067610 - 1,504.00,Revenue,20008285,"VPS, THE VACANT PROPERTY SPECIALIST"
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067631 - 0,650.69,Revenue,20002513,MARCUS COPELIN
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067640 - 1,480.00,Revenue,20016403,CLEANSAFE SERVICES (UK) LTD
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067643 - 0,426.86,Revenue,20010329,ALLFLOORS OF OXFORDSHIRE LTD
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067645 - 0,774.97,Revenue,20010329,ALLFLOORS OF OXFORDSHIRE LTD
Direct Services,Direct Services Supplies & Services,D3311,25/01/2017,60067646 - 1,2494.92,Revenue,20010329,ALLFLOORS OF OXFORDSHIRE LTD
Direct Services,Direct Services Supplies & Services,D3311,25/01/2017,60067647 - 0,2494.92,Revenue,20010329,ALLFLOORS OF OXFORDSHIRE LTD
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067650 - 1,484.87,Revenue,20000210,BARKER & EVANS LTD
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067673 - 0,550.00,Revenue,20018627,DRAIN GAIN LTD
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067681 - 0,1160.79,Revenue,20019158,ELECTRICIANS IN READING LTD
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067682 - 1,1160.79,Revenue,20019158,ELECTRICIANS IN READING LTD
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067683 - 0,1051.26,Revenue,20019158,ELECTRICIANS IN READING LTD
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067684 - 1,1051.26,Revenue,20019158,ELECTRICIANS IN READING LTD
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067685 - 0,1060.79,Revenue,20019158,ELECTRICIANS IN READING LTD
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067686 - 1,1060.79,Revenue,20019158,ELECTRICIANS IN READING LTD
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067687 - 0,2131.62,Revenue,20019158,ELECTRICIANS IN READING LTD
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067688 - 1,1065.81,Revenue,20019158,ELECTRICIANS IN READING LTD
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067689 - 0,1174.45,Revenue,20019158,ELECTRICIANS IN READING LTD
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067690 - 1,1051.26,Revenue,20019158,ELECTRICIANS IN READING LTD
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067691 - 0,3010.27,Revenue,20013974,TOM GHEE CONSTRUCTION
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067692 - 1,1587.30,Revenue,20013974,TOM GHEE CONSTRUCTION
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067693 - 0,3018.00,Revenue,20013974,TOM GHEE CONSTRUCTION
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067694 - 1,1010.10,Revenue,20013974,TOM GHEE CONSTRUCTION
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067695 - 0,3350.00,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067696 - 1,3350.00,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067697 - 0,8538.90,Revenue,20018650,INSIDE OUT DEVELOPMENTS LTD
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067698 - 1,470.80,Revenue,20003467,MCAVOY HIRE LTD
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067700 - 1,629.00,Revenue,20014739,MULTI-FLOORS LIMITED
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067701 - 0,622.50,Revenue,20014739,MULTI-FLOORS LIMITED
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067702 - 1,497.00,Revenue,20014739,MULTI-FLOORS LIMITED
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067703 - 0,495.00,Revenue,20014739,MULTI-FLOORS LIMITED
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067709 - 0,990.00,Revenue,20013811,OAKWOOD LANDSCAPING & GROUNDWORK
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067710 - 1,3661.00,Revenue,20012914,PROELEC INSTALLATIONS LTD
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067711 - 0,1210.60,Revenue,20019068,RAPID ENVIRONMENTAL LTD
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067713 - 0,1585.00,Revenue,20009896,VISION SECURE LIMITED
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067714 - 1,2853.00,Revenue,20011787,WESTLAKE ASPHALT COMPANY LTD
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067715 - 1,831.64,Revenue,20010329,ALLFLOORS OF OXFORDSHIRE LTD
Direct Services,Direct Services Sub Contractors,B1111,25/01/2017,60067716 - 0,1980.00,Revenue,20014748,G P FABRICATIONS
Direct Services,Direct Services Supplies & Services,D3311,31/01/2017,60067723 - 0,543.98,Revenue,20003233,AKW MEDICARE LIMITED
Direct Services,Materials,D3021,31/01/2017,60067738 - 1,510.00,Revenue,20005189,BATHEX LTD
Direct Services,Materials,D3021,31/01/2017,60067739 - 0,3097.76,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Materials,D3021,31/01/2017,60067741 - 0,465.60,Revenue,20005720,CAPITOL TILE SUPPLIES LTD
Direct Services,Materials,D3021,31/01/2017,60067750 - 1,1299.50,Revenue,20005595,EXECUTIVE SECURITY LOCKSMITHS LTD
Direct Services,Direct Services Supplies & Services,D3311,31/01/2017,60067752 - 1,4478.69,Revenue,20002183,EYRE & ELLISTON LTD
Direct Services,Materials,D3021,31/01/2017,60067767 - 0,738.00,Revenue,20002679,LOCKS & LATCHES (STAFFORD) LTD
Direct Services,Materials,D3021,31/01/2017,60067768 - 1,575.58,Revenue,20002679,LOCKS & LATCHES (STAFFORD) LTD
Direct Services,Materials,D3021,31/01/2017,60067770 - 1,1209.72,Revenue,20019236,POWRED HEATING COMPONENTS LTD
Direct Services,Materials,D3021,31/01/2017,60067772 - 1,1012.61,Revenue,20019236,POWRED HEATING COMPONENTS LTD
Direct Services,Materials,D3021,31/01/2017,60067777 - 0,1763.48,Revenue,20015370,TIMBERYTE
Direct Services,Materials,D3021,31/01/2017,60067778 - 1,748.48,Revenue,20015370,TIMBERYTE
Direct Services,Materials,D3021,31/01/2017,60067797 - 1,1072.72,Revenue,20002299,C BREWER & SONS LTD
Direct Services,Materials,D3021,31/01/2017,60067817 - 1,465.54,Revenue,20002299,C BREWER & SONS LTD
Direct Services,Materials,D3021,31/01/2017,60067832 - 1,805.91,Revenue,20019236,POWRED HEATING COMPONENTS LTD
Direct Services,Materials,D3021,31/01/2017,60067836 - 1,2300.09,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,31/01/2017,60067837 - 0,1330.25,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,31/01/2017,60067861 - 1,1567.77,Revenue,20006342,JEWSON LTD
Direct Services,Services Maintenance (Planned),B1103,31/01/2017,60067875 - 0,2308.52,Revenue,20008084,AVERY WEIGH-TRONIX
Direct Services,Reactive Maintenance & Minor Repairs,B1101,31/01/2017,60067894 - 1,1395.00,Revenue,20008181,EXECUTIVE ALARMS LTD
Direct Services,Advertising & Publicity,D3802,31/01/2017,60067896 - 1,775.00,Revenue,20017425,MORGARD COURT LTD T/A GARDNERS
Direct Services,Tools,D3023,31/01/2017,60067897 - 0,1256.60,Revenue,20013620,GROUNDSMAN
Direct Services,Materials,D3021,31/01/2017,60067902 - 1,735.15,Revenue,20002005,HANSON AGGREGATES
Direct Services,Materials,D3021,31/01/2017,60067904 - 1,1005.50,Revenue,20002005,HANSON AGGREGATES
Direct Services,Materials,D3021,31/01/2017,60067911 - 0,1840.60,Revenue,20015230,MERKKO ENTERPRISES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,31/01/2017,60067917 - 0,4001.85,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,31/01/2017,60067918 - 1,3829.20,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,31/01/2017,60067919 - 0,3604.66,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,31/01/2017,60067921 - 0,483.60,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,31/01/2017,60067922 - 1,644.80,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,31/01/2017,60067923 - 0,644.80,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,31/01/2017,60067924 - 1,1612.00,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,31/01/2017,60067925 - 0,644.80,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,31/01/2017,60067929 - 1,2954.05,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,31/01/2017,60067930 - 0,3201.83,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,31/01/2017,60067931 - 1,1116.76,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,31/01/2017,60067933 - 1,846.30,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,31/01/2017,60067934 - 0,644.80,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,31/01/2017,60067935 - 1,806.00,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,31/01/2017,60067937 - 1,806.00,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,31/01/2017,60067938 - 0,1578.99,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,31/01/2017,60067939 - 1,483.60,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,31/01/2017,60067943 - 1,3403.24,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,31/01/2017,60067944 - 0,4125.18,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,31/01/2017,60067945 - 1,1289.60,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,31/01/2017,60067946 - 0,644.80,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,31/01/2017,60067947 - 1,1450.80,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Materials,D3021,31/01/2017,60067948 - 0,930.00,Revenue,20011854,OXFORD FABRICATION LTD
Direct Services,Consultants Fees,D3411,31/01/2017,60067954 - 0,3250.00,Revenue,20013591,PETER BRETT ASSOCIATES LLP
Direct Services,Consultants Fees,D3411,31/01/2017,60067955 - 1,1000.00,Revenue,20013591,PETER BRETT ASSOCIATES LLP
Direct Services,Consultants Fees,D3411,31/01/2017,60067956 - 0,750.00,Revenue,20013591,PETER BRETT ASSOCIATES LLP
Direct Services,Materials,D3021,31/01/2017,60067964 - 1,976.15,Revenue,20000263,SHEEHAN HAULAGE & PLANT HIRE LTD
Direct Services,Materials,D3021,31/01/2017,60067965 - 0,628.95,Revenue,20000263,SHEEHAN HAULAGE & PLANT HIRE LTD
Direct Services,Materials,D3021,31/01/2017,60067967 - 0,975.45,Revenue,20000263,SHEEHAN HAULAGE & PLANT HIRE LTD
Direct Services,Materials,D3021,31/01/2017,60067970 - 1,746.00,Revenue,20006398,STREET FURNISHING SERVICES
Direct Services,Materials,D3021,31/01/2017,60067971 - 0,592.50,Revenue,20006398,STREET FURNISHING SERVICES
Direct Services,Materials,D3021,31/01/2017,60067972 - 1,505.44,Revenue,20012799,LAFARGE TARMAC TRADING LIMITED
Direct Services,Materials,D3021,31/01/2017,60067974 - 0,634.92,Revenue,20012799,LAFARGE TARMAC TRADING LIMITED
Direct Services,Materials,D3021,31/01/2017,60067976 - 0,808.08,Revenue,20012799,LAFARGE TARMAC TRADING LIMITED
Direct Services,Materials,D3021,31/01/2017,60067978 - 0,1296.10,Revenue,20012799,LAFARGE TARMAC TRADING LIMITED
Direct Services,General Contracted Services,D3401,31/01/2017,60067983 - 1,1076.52,Revenue,20017593,AQUAM WATER SERVICES
Direct Services,General Contracted Services,D3401,31/01/2017,60067984 - 0,1076.52,Revenue,20017593,AQUAM WATER SERVICES
Direct Services,General Contracted Services,D3401,31/01/2017,60067985 - 1,1076.52,Revenue,20017593,AQUAM WATER SERVICES
Direct Services,General Contracted Services,D3401,31/01/2017,60067986 - 0,1076.52,Revenue,20017593,AQUAM WATER SERVICES
Direct Services,General Contracted Services,D3401,31/01/2017,60067987 - 1,2485.87,Revenue,20017593,AQUAM WATER SERVICES
Direct Services,General Contracted Services,D3401,31/01/2017,60067988 - 0,2485.87,Revenue,20017593,AQUAM WATER SERVICES
Direct Services,General Contracted Services,D3401,31/01/2017,60067989 - 1,2485.87,Revenue,20017593,AQUAM WATER SERVICES
Direct Services,General Contracted Services,D3401,31/01/2017,60067990 - 1,2485.87,Revenue,20017593,AQUAM WATER SERVICES
Direct Services,Community Events,D3032,31/01/2017,60067991 - 0,2378.02,Revenue,20002466,WYBONE LTD
Direct Services,Materials,D3021,31/01/2017,60068004 - 1,467.60,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Materials,D3021,31/01/2017,60068005 - 0,1189.95,Revenue,20005720,CAPITOL TILE SUPPLIES LTD
Direct Services,Materials,D3021,31/01/2017,60068006 - 0,910.80,Revenue,20005720,CAPITOL TILE SUPPLIES LTD
Direct Services,Materials,D3021,31/01/2017,60068007 - 1,1135.33,Revenue,20017252,CHERWELL PACKAGING LTD
Direct Services,Materials,D3021,31/01/2017,60068013 - 0,562.95,Revenue,20002680,OXFORD SAFETY SUPPLIES
Direct Services,Materials,D3021,31/01/2017,60068014 - 1,761.80,Revenue,20002680,OXFORD SAFETY SUPPLIES
Direct Services,Materials,D3021,31/01/2017,60068016 - 1,589.10,Revenue,20002680,OXFORD SAFETY SUPPLIES
Direct Services,Materials,D3021,31/01/2017,60068017 - 0,1606.30,Revenue,20019236,POWRED HEATING COMPONENTS LTD
Direct Services,Materials,D3021,31/01/2017,60068019 - 0,2195.21,Revenue,20019236,POWRED HEATING COMPONENTS LTD
Direct Services,Materials,D3021,31/01/2017,60068026 - 1,475.91,Revenue,20002434,TOOLMASTER (OXFORD) LTD
Direct Services,Direct Services Sub Contractors,B1111,31/01/2017,60068043 - 0,936.00,Revenue,20000441,1ST CHOICE SCAFFOLDING (OXFORD) LTD
Direct Services,Direct Services Sub Contractors,B1111,31/01/2017,60068049 - 0,1001.65,Revenue,20002513,MARCUS COPELIN
Direct Services,Direct Services Sub Contractors,B1111,31/01/2017,60068055 - 0,1586.20,Revenue,20002513,MARCUS COPELIN
Direct Services,Direct Services Sub Contractors,B1111,31/01/2017,60068057 - 0,530.92,Revenue,20002513,MARCUS COPELIN
Direct Services,Direct Services Sub Contractors,B1111,31/01/2017,60068059 - 0,1101.00,Revenue,20000209,AMITY INSULATION SERVICES LTD
Direct Services,Direct Services Sub Contractors,B1111,31/01/2017,60068060 - 1,16258.00,Revenue,20000210,BARKER & EVANS LTD
Direct Services,Direct Services Sub Contractors,B1111,31/01/2017,60068067 - 0,1050.00,Revenue,20019316,TRUTH LTD T/A KJC FELT ROOFING
Direct Services,Direct Services Sub Contractors,B1111,31/01/2017,60068078 - 0,577.20,Revenue,20013974,TOM GHEE CONSTRUCTION
Direct Services,Direct Services Sub Contractors,B1111,31/01/2017,60068079 - 1,1473.70,Revenue,20013974,TOM GHEE CONSTRUCTION
Direct Services,Direct Services Sub Contractors,B1111,31/01/2017,60068080 - 0,1100.10,Revenue,20013974,TOM GHEE CONSTRUCTION
Direct Services,Direct Services Sub Contractors,B1111,31/01/2017,60068081 - 1,771.50,Revenue,20013974,TOM GHEE CONSTRUCTION
Direct Services,Direct Services Sub Contractors,B1111,31/01/2017,60068082 - 0,1416.42,Revenue,20013974,TOM GHEE CONSTRUCTION
Direct Services,Direct Services Sub Contractors,B1111,31/01/2017,60068083 - 1,3350.00,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,31/01/2017,60068084 - 0,3350.00,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,31/01/2017,60068085 - 0,430.00,Revenue,20000233,JONES & REEVES
Direct Services,Direct Services Sub Contractors,B1111,31/01/2017,60068101 - 0,2395.00,Revenue,20012914,PROELEC INSTALLATIONS LTD
Direct Services,Direct Services Sub Contractors,B1111,31/01/2017,60068102 - 0,950.00,Revenue,20009896,VISION SECURE LIMITED
Direct Services,Direct Services Sub Contractors,B1111,31/01/2017,60068103 - 1,523.80,Revenue,20011787,WESTLAKE ASPHALT COMPANY LTD
Direct Services,Materials,D3021,07/02/2017,60068108 - 1,1055.58,Revenue,20003233,AKW MEDICARE LIMITED
Direct Services,Materials,D3021,07/02/2017,60068118 - 1,790.11,Revenue,20002299,C BREWER & SONS LTD
Direct Services,Materials,D3021,07/02/2017,60068120 - 1,464.75,Revenue,20002299,C BREWER & SONS LTD
Direct Services,Materials,D3021,07/02/2017,60068126 - 1,3161.63,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Direct Services Supplies & Services,D3311,07/02/2017,60068127 - 0,735.00,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Materials,D3021,07/02/2017,60068129 - 0,2779.52,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Materials,D3021,07/02/2017,60068131 - 0,2450.87,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Materials,D3021,07/02/2017,60068136 - 1,888.00,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Materials,D3021,07/02/2017,60068139 - 0,610.00,Revenue,20007946,ED GLASS LIMITED
Direct Services,Direct Services Supplies & Services,D3311,07/02/2017,60068141 - 0,735.00,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Materials,D3021,07/02/2017,60068152 - 1,1299.50,Revenue,20005595,EXECUTIVE SECURITY LOCKSMITHS LTD
Direct Services,Direct Services Supplies & Services,D3311,07/02/2017,60068155 - 0,1137.50,Revenue,20002183,EYRE & ELLISTON LTD
Direct Services,Direct Services Supplies & Services,D3311,07/02/2017,60068160 - 1,750.52,Revenue,20002183,EYRE & ELLISTON LTD
Direct Services,Direct Services Supplies & Services,D3311,07/02/2017,60068164 - 0,708.33,Revenue,20006342,JEWSON LTD
Direct Services,Direct Services Supplies & Services,D3311,07/02/2017,60068169 - 1,440.51,Revenue,20006342,JEWSON LTD
Direct Services,Materials,D3021,07/02/2017,60068171 - 1,822.61,Revenue,20006342,JEWSON LTD
Direct Services,Direct Services Supplies & Services,D3311,07/02/2017,60068175 - 1,458.68,Revenue,20006342,JEWSON LTD
Direct Services,Direct Services Supplies & Services,D3311,07/02/2017,60068185 - 1,564.45,Revenue,20006342,JEWSON LTD
Direct Services,Direct Services Supplies & Services,D3311,07/02/2017,60068186 - 0,1426.31,Revenue,20006342,JEWSON LTD
Direct Services,Materials,D3021,07/02/2017,60068187 - 1,6174.60,Revenue,20006342,JEWSON LTD
Direct Services,Materials,D3021,07/02/2017,60068188 - 0,534.60,Revenue,20006342,JEWSON LTD
Direct Services,Protective Clothing,D3201,07/02/2017,60068189 - 1,5994.50,Revenue,20002680,OXFORD SAFETY SUPPLIES
Direct Services,Direct Services Supplies & Services,D3311,07/02/2017,60068190 - 0,464.01,Revenue,20002680,OXFORD SAFETY SUPPLIES
Direct Services,Materials,D3021,07/02/2017,60068194 - 1,1225.23,Revenue,20019236,POWRED HEATING COMPONENTS LTD
Direct Services,Tools,D3023,07/02/2017,60068207 - 0,439.99,Revenue,20002443,UNIVERSAL ACCESS & POWER PLAN
Direct Services,Materials,D3021,07/02/2017,60068208 - 1,1240.00,Revenue,20002443,UNIVERSAL ACCESS & POWER PLAN
Direct Services,Materials,D3021,07/02/2017,60068209 - 0,1432.30,Revenue,20002443,UNIVERSAL ACCESS & POWER PLAN
Direct Services,Direct Services Supplies & Services,D3311,07/02/2017,60068215 - 0,827.10,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Materials,D3021,07/02/2017,60068218 - 1,2124.46,Revenue,20002254,GRAFTON MERCHANTING GB LTD
