Service Area,Expenditure Category,Expenditure Code,Paid Date,Trans No,Amount,Type,Supplier ID,Supplier Name
Direct Services,Materials,D3021,11/04/2017,60071802 - 0,619.32,Revenue,20012799,LAFARGE TARMAC TRADING LIMITED
Direct Services,Materials,D3021,11/04/2017,60071803 - 1,469.56,Revenue,20012799,LAFARGE TARMAC TRADING LIMITED
Direct Services,Materials,D3021,11/04/2017,60071805 - 1,960,Revenue,20015230,MERKKO ENTERPRISES LIMITED
Direct Services,Materials,D3021,11/04/2017,60071806 - 0,900,Revenue,20015230,MERKKO ENTERPRISES LIMITED
Direct Services,Materials,D3021,11/04/2017,60071811 - 1,15590,Revenue,20017539,NIBRA SIGNS LTD
Direct Services,Temporary Bureau Staffing,A0108,11/04/2017,60071812 - 0,1566.91,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,11/04/2017,60071813 - 1,1477.86,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,11/04/2017,60071814 - 1,3814.65,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,11/04/2017,60071815 - 0,5225.06,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,11/04/2017,60071816 - 1,483.6,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,11/04/2017,60071817 - 0,1289.6,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,11/04/2017,60071818 - 1,1207.8,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,11/04/2017,60071819 - 0,650.5,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,11/04/2017,60071820 - 1,1193.7,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Temporary Bureau Staffing,A0108,11/04/2017,60071821 - 0,967.2,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,General Contracted Services,D3401,11/04/2017,60071826 - 1,4240.5,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Engineering Services Supplies and Services,D3319,11/04/2017,60071827 - 0,36500,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
Direct Services,Materials,D3021,11/04/2017,60071828 - 1,994.62,Revenue,20002335,OXFORD FENCING SUPPLIES
Direct Services,Protective Clothing,D3201,11/04/2017,60071830 - 0,1296,Revenue,20002680,OXFORD SAFETY SUPPLIES
Direct Services,Direct Services,Y237,11/04/2017,60071831 - 1,3440,Capital,20002930,OXFORDSHIRE COUNTY COUNCIL
Direct Services,Tools,D3023,11/04/2017,60071833 - 1,1932.81,Revenue,20002347,REXEL UK LIMITED
Direct Services,Sign Shop Materials,D3018,11/04/2017,60071847 - 0,1196.6,Revenue,20002393,SIGNPOST SOLUTIONS LTD T/AS SIGNFIX
Direct Services,Sign Shop Materials,D3018,11/04/2017,60071849 - 0,5235.5,Revenue,20002698,SPANDEX  LTD.  (UK)  COLLECTIONS
Direct Services,Sign Shop Materials,D3018,11/04/2017,60071850 - 1,1840,Revenue,20006398,STREET FURNISHING SERVICES
Direct Services,Sign Shop Materials,D3018,11/04/2017,60071851 - 0,560,Revenue,20011096,TBS POLYCARBONATES (INCORPORATING ARMADILLO SUPPLIES)
Direct Services,Tools,D3023,11/04/2017,60071853 - 0,686,Revenue,20002434,TOOLMASTER (OXFORD) LTD
Direct Services,Tools,D3023,11/04/2017,60071854 - 1,1222.68,Revenue,20002434,TOOLMASTER (OXFORD) LTD
Direct Services,Materials,D3021,11/04/2017,60071856 - 1,3663.94,Revenue,20015230,MERKKO ENTERPRISES LIMITED
Direct Services,Materials,D3021,11/04/2017,60071857 - 0,516.08,Revenue,20015230,MERKKO ENTERPRISES LIMITED
Direct Services,Sign Shop Materials,D3018,11/04/2017,60071859 - 0,454.46,Revenue,20002698,SPANDEX  LTD.  (UK)  COLLECTIONS
Direct Services,General Contracted Services,D3401,11/04/2017,60071867 - 0,4330,Revenue,20011854,OXFORD FABRICATION LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071873 - 0,2104.85,Revenue,20010329,ALLFLOORS OF OXFORDSHIRE LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071874 - 1,4153,Revenue,20000210,BARKER & EVANS LTD
Direct Services,General Contracted Services,D3401,11/04/2017,60071875 - 0,420,Revenue,20011742,CHARLTON ENVIRONMENTAL LIMITED
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071883 - 0,3630.43,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071884 - 1,3624.85,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071885 - 0,3624.85,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071886 - 1,3505.43,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071887 - 1,3338.02,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071888 - 0,3512.5,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071889 - 1,3543.12,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071890 - 0,3512.5,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071891 - 1,2862.5,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071892 - 0,3062.5,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071893 - 1,3693.9,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071894 - 0,3497.5,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071895 - 1,4107.5,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071896 - 0,3210,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071897 - 1,4003.9,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071898 - 0,3655,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071899 - 1,2952.5,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071900 - 0,3751.4,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071901 - 1,3747.5,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071902 - 0,3321.66,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071903 - 0,3187.5,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071905 - 0,602.5,Revenue,20014676,KENNINGTON FLOORING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071907 - 0,533.5,Revenue,20014676,KENNINGTON FLOORING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071911 - 0,422.9,Revenue,20014676,KENNINGTON FLOORING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071914 - 1,652,Revenue,20014676,KENNINGTON FLOORING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071915 - 0,4880,Revenue,20002513,MARCUS COPELIN
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071917 - 0,3780,Revenue,20019100,PROJECT MANAGEMENT SERVICES OXFORD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071919 - 1,2880,Revenue,20009112,PRESERVATION SPECIALIST TREATMENTS
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071922 - 0,3483.5,Revenue,20008696,TOTAL HYGIENE LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071924 - 0,436.5,Revenue,20011787,WESTLAKE ASPHALT COMPANY LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071925 - 1,873,Revenue,20011787,WESTLAKE ASPHALT COMPANY LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071927 - 1,12000,Revenue,20013974,TOM GHEE CONSTRUCTION
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60071928 - 0,10891,Revenue,20019100,PROJECT MANAGEMENT SERVICES OXFORD
Direct Services,Materials,D3021,11/04/2017,60071938 - 0,806.18,Revenue,20006342,JEWSON LTD
Direct Services,Tipping Charges,D3421,11/04/2017,60071949 - 0,526,Revenue,20000263,SHEEHAN HAULAGE & PLANT HIRE LTD
Direct Services,Tipping Charges,D3421,11/04/2017,60071950 - 1,427.6,Revenue,20000263,SHEEHAN HAULAGE & PLANT HIRE LTD
Direct Services,Tipping Charges,D3421,11/04/2017,60071951 - 1,524,Revenue,20000263,SHEEHAN HAULAGE & PLANT HIRE LTD
Direct Services,Materials,D3021,11/04/2017,60071954 - 1,450.89,Revenue,20002434,TOOLMASTER (OXFORD) LTD
Direct Services,Materials,D3021,11/04/2017,60071959 - 0,550.15,Revenue,20002434,TOOLMASTER (OXFORD) LTD
Direct Services,Materials,D3021,11/04/2017,60071960 - 1,718.9,Revenue,20002434,TOOLMASTER (OXFORD) LTD
Direct Services,Materials,D3021,11/04/2017,60071964 - 1,1311.86,Revenue,20003233,AKW MEDICARE LIMITED
Direct Services,Materials,D3021,11/04/2017,60071971 - 1,1315.76,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Materials,D3021,11/04/2017,60071978 - 0,1383.27,Revenue,20006342,JEWSON LTD
Direct Services,Materials,D3021,11/04/2017,60071979 - 1,1041.1,Revenue,20006342,JEWSON LTD
Direct Services,Materials,D3021,11/04/2017,60071982 - 0,592,Revenue,20006342,JEWSON LTD
Direct Services,Materials,D3021,11/04/2017,60071984 - 1,930,Revenue,20006342,JEWSON LTD
Direct Services,Materials,D3021,11/04/2017,60072011 - 0,471.9,Revenue,20002679,LOCKS & LATCHES (STAFFORD) LTD
Direct Services,Materials,D3021,11/04/2017,60072012 - 1,699.3,Revenue,20002679,LOCKS & LATCHES (STAFFORD) LTD
Direct Services,Materials,D3021,11/04/2017,60072013 - 0,469.85,Revenue,20002680,OXFORD SAFETY SUPPLIES
Direct Services,Materials,D3021,11/04/2017,60072014 - 1,608.75,Revenue,20002680,OXFORD SAFETY SUPPLIES
Direct Services,Materials,D3021,11/04/2017,60072015 - 1,974.1,Revenue,20002680,OXFORD SAFETY SUPPLIES
Direct Services,Materials,D3021,11/04/2017,60072016 - 0,1131.54,Revenue,20019236,POWRED HEATING COMPONENTS LTD
Direct Services,Materials,D3021,11/04/2017,60072017 - 1,931.01,Revenue,20019236,POWRED HEATING COMPONENTS LTD
Direct Services,Materials,D3021,11/04/2017,60072020 - 0,1701.48,Revenue,20015370,TIMBERYTE
Direct Services,Materials,D3021,11/04/2017,60072022 - 1,1456.98,Revenue,20015370,TIMBERYTE
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60072023 - 0,4150,Revenue,20015630,BAYDALE CONTROL SYSTEMS
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60072025 - 0,4550,Revenue,20012692,FREECHOICE GROUP
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60072027 - 0,2902.5,Revenue,20019334,GLEVUM HEATING & PLUMBING LTD
Direct Services,Direct Services Sub Contractors,B1111,11/04/2017,60072029 - 0,3250,Revenue,20009112,PRESERVATION SPECIALIST TREATMENTS
Direct Services,Materials,D3021,19/04/2017,60072034 - 0,5681.93,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Materials,D3021,19/04/2017,60072035 - 1,1645.98,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Materials,D3021,19/04/2017,60072036 - 0,1106.2,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Tools,D3023,19/04/2017,60072040 - 0,1050.35,Revenue,20002443,UNIVERSAL ACCESS & POWER PLAN
Direct Services,Tools,D3023,19/04/2017,60072041 - 1,918.35,Revenue,20002443,UNIVERSAL ACCESS & POWER PLAN
Direct Services,Tools,D3023,19/04/2017,60072043 - 1,1050.35,Revenue,20002443,UNIVERSAL ACCESS & POWER PLAN
Direct Services,Materials,D3021,19/04/2017,60072044 - 0,520,Revenue,20002443,UNIVERSAL ACCESS & POWER PLAN
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072047 - 1,649.84,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072061 - 1,466,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072065 - 0,636.57,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072066 - 1,636.57,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072067 - 0,607.69,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072068 - 1,598.71,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072069 - 0,598.71,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072070 - 1,649.53,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072077 - 0,598.71,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072078 - 0,598.71,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072079 - 1,492.62,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072080 - 1,492.62,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072081 - 0,523.06,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072082 - 1,530.57,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,19/04/2017,60072091 - 0,2631.94,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,19/04/2017,60072092 - 1,695.12,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,19/04/2017,60072095 - 0,1369.37,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072097 - 1,530.64,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072099 - 1,641.98,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072101 - 1,653.15,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072102 - 0,598.71,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,19/04/2017,60072103 - 1,559.24,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,19/04/2017,60072105 - 1,1888.53,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072111 - 1,936.14,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072114 - 1,619.23,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072115 - 0,722.91,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072117 - 0,631.99,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072118 - 1,611.22,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072119 - 0,602.24,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072120 - 1,533.97,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072122 - 1,584.99,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072123 - 0,483.64,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072124 - 1,582.15,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072125 - 0,483.64,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072126 - 1,585.68,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072127 - 0,594.66,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072128 - 0,450.96,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072129 - 1,450.96,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072130 - 0,450.96,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072132 - 0,611.22,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072133 - 1,602.24,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072134 - 0,778.87,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072135 - 1,675.7,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072136 - 0,562.52,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072138 - 0,580.6,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Licences (Non-Transport),D3804,19/04/2017,60072141 - 1,1881,Revenue,20002929,ENVIRONMENT AGENCY
Direct Services,Waste Disposal & Skip Hire,D3420,19/04/2017,60072142 - 1,1505.84,Revenue,20002222,GRUNDON WASTE MANAGEMENT LTD
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072143 - 0,877.58,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072144 - 1,898.22,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072145 - 0,852,Revenue,20002254,GRAFTON MERCHANTING GB LTD
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072162 - 1,624.61,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072163 - 0,655.17,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072164 - 1,2017.37,Revenue,20008418,HOWDENS JOINERY LTD
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072165 - 0,1013.46,Revenue,20010329,ALLFLOORS OF OXFORDSHIRE LTD
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072169 - 0,585.68,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072170 - 1,602.12,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072171 - 0,773.28,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072172 - 1,602.12,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072173 - 0,580.6,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072175 - 0,602.12,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072176 - 1,9930,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,19/04/2017,60072177 - 0,1369.37,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,19/04/2017,60072184 - 0,2054.05,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072185 - 1,765.67,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072186 - 0,537.55,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072187 - 1,984.46,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072188 - 0,483.64,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072189 - 1,851.27,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072190 - 0,704.58,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072191 - 1,585.68,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072192 - 1,833.55,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072193 - 0,521.11,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072194 - 1,578.13,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072195 - 0,584.99,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072196 - 1,602.12,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072198 - 1,615.64,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072199 - 0,798.34,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072200 - 1,1088.25,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072201 - 0,721.66,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072202 - 1,1057.87,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072204 - 1,811.03,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072206 - 1,510.61,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,19/04/2017,60072208 - 0,1369.37,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072209 - 1,472.4,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,19/04/2017,60072210 - 0,1369.37,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072212 - 0,568.43,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072213 - 1,666.54,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072214 - 0,578.65,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072215 - 1,530.57,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072216 - 0,568.43,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072217 - 1,751.85,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072218 - 0,568.43,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072219 - 1,568.43,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072220 - 0,744.29,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072222 - 1,655.01,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072223 - 0,466,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,19/04/2017,60072224 - 0,1369.37,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072225 - 1,621.64,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072226 - 0,906.5,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072227 - 1,794.09,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072228 - 0,804.62,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Furniture & Equipment Maintenance & Repairs,D3002,19/04/2017,60072250 - 1,460,Revenue,20002443,UNIVERSAL ACCESS & POWER PLAN
Direct Services,Materials,D3021,19/04/2017,60072258 - 0,1012,Revenue,20013011,RIONED UK LTD
Direct Services,Materials,D3021,19/04/2017,60072259 - 1,473.33,Revenue,20002434,TOOLMASTER (OXFORD) LTD
Direct Services,Materials,D3021,19/04/2017,60072260 - 0,616.04,Revenue,20002434,TOOLMASTER (OXFORD) LTD
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072262 - 0,820,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072263 - 1,820,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072264 - 0,602.24,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Materials,D3021,19/04/2017,60072265 - 1,1715.02,Revenue,20002464,WOLSELEY UK LIMITED
Direct Services,Direct Services Supplies & Services,D3311,19/04/2017,60072268 - 0,490.04,Revenue,20002464,WOLSELEY UK LIMITED
